"corpus_id","scheme","stratum","dataset_id","analysis_id","source_key","source_article","source_year","outcome_slug","analysis_variant","parent_dataset_id","exclusion_reason","path_stratum","legacy_basename","has_excl_variant","positive_effect_interpretation","schema_version","estimand_version","n_studies","baseline_engine","baseline_model_family","baseline_model_averaged","baseline_bias_adjusted","mu_RE","mu_RE_lCI","mu_RE_uCI","mu_BC","mu_BC_lCI","mu_BC_uCI","tau_RE","tau_RE_lCI","tau_RE_uCI","tau_BC","tau_BC_lCI","tau_BC_uCI","prior_p_effect","post_p_effect","log10BF_effect","prior_p_het","post_p_het","log10BF_het","prior_p_bias","post_p_bias","log10BF_bias","prior_p_no_bias","post_p_no_bias","log10BF_no_bias","prior_p_muplus_omega0","post_p_muplus_omega0","log10BF_muplus_omega0","prior_p_mu0_omega0","post_p_mu0_omega0","log10BF_mu0_omega0","prior_p_muplus_omegaplus","post_p_muplus_omegaplus","log10BF_muplus_omegaplus","prior_p_mu0_omegaplus","post_p_mu0_omegaplus","log10BF_mu0_omegaplus","prior_p_rigor_effect","post_p_rigor_effect","log10BF_rigor_effect","prior_p_rigor_no_effect","post_p_rigor_no_effect","log10BF_rigor_no_effect","log10BF_rigor","rigor_direction","rigor_margin","rigor_category","family_evidence_uncertain","partition_ok","unresolved_labels","component_probability_validation_ok","component_bf_validation_ok","component_validation_ok","validation_failure_reason","max_abs_diff_component_prior","max_abs_diff_component_post","max_abs_diff_component_bf","sample","burnin","adapt","chains","thin","seed","model_type","effect_direction","config_hash","script_hash","robma_version","bayestools_version","measure","fit_engine","run_id"
"nutrition_v4","nutrition_domain","fiber","chiavaroli2015_fiber_creatinine","nutrition_v4__fiber__chiavaroli2015__creatinine__main","chiavaroli2015","chiavaroli2015",2015,"creatinine","main",NA,NA,"fiber","chiavaroli2015_fiber_creatinine",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",12,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.296283994345276,-0.0037906634482217,0.605787459751645,0.0605034488265637,-0.365788039086172,0.464424611620073,0.278050192818301,0.0149126428179503,0.647043989593105,0.154318081562408,0,0.591739794742113,0.5,0.4184,-0.143032721991764,0.5,0.5657,0.11479634937818,0.5,0.666366666666667,0.300443829911702,0.5,0.333633333333333,-0.300443829911702,0.25,0.215233333333333,-0.0847097614953932,0.25,0.1184,-0.394798624401146,0.25,0.203166666666667,-0.116393783357745,0.25,0.4632,0.413077298278107,0.25,0.215233333333333,-0.0847097614953932,0.25,0.1184,-0.394798624401146,-0.0847097614953932,"effect",0.310088862905753,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184333_chiavaroli2015_fiber_creatinine"
"nutrition_v4","nutrition_domain","fiber","chiavaroli2015_fiber_urea","nutrition_v4__fiber__chiavaroli2015__urea__main","chiavaroli2015","chiavaroli2015",2015,"urea","main",NA,NA,"fiber","chiavaroli2015_fiber_urea",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",13,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.548164926073658,0.0562532232492755,1.02967016361082,0.0202840326400968,-0.603630301295909,0.594052465762525,0.809597980789626,0.50824409193651,1.16398597583647,0.722561888137934,0.375387204562757,1.09642289789066,0.5,0.4054,-0.166341160511929,0.5,0.997333333333333,2.57287160220047,0.5,0.972666666666667,1.55127143517372,0.5,0.0273333333333333,-1.55127143517372,0.25,0.0217,-1.17689106495743,0.25,0.00563333333333333,-1.76965985276834,0.25,0.3837,0.271320886187303,0.25,0.588966666666667,0.633334927708576,0.25,0.0217,-1.17689106495743,0.25,0.00563333333333333,-1.76965985276834,-1.17689106495743,"effect",0.59276878781091,"clean_evidence_disfavored",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184344_chiavaroli2015_fiber_urea"
"nutrition_v4","nutrition_domain","fiber","gupta2025_fiber_hdl_cholesterol","nutrition_v4__fiber__gupta2025__hdl_cholesterol__main","gupta2025","gupta2025",2025,"hdl_cholesterol","main",NA,NA,"fiber","gupta2025_fiber_hdl_cholesterol",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",34,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.311129501406727,0.0848193844005792,0.535171942046821,0.174747251743196,-0.00347696890804404,0.500596748656573,0.616807985206642,0.477505829239563,0.794502150806589,0.627070695449546,0.480487253978027,0.806905863424519,0.5,0.627233333333333,0.225992060011049,0.5,1,Inf,0.5,0.436633333333333,-0.110674259611928,0.5,0.563366666666667,0.110674259611928,0.25,0.4848,0.450708011526137,0.25,0.0785666666666667,-0.592104336506815,0.25,0.142433333333333,-0.302534998976374,0.25,0.2942,0.0970822690872234,0.25,0.4848,0.450708011526137,0.25,0.0785666666666667,-0.592104336506815,0.450708011526137,"effect",1.04281234803295,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184346_gupta2025_fiber_hdl_cholesterol"
"nutrition_v4","nutrition_domain","fiber","gupta2025_fiber_ldl_cholesterol","nutrition_v4__fiber__gupta2025__ldl_cholesterol__main","gupta2025","gupta2025",2025,"ldl_cholesterol","main",NA,NA,"fiber","gupta2025_fiber_ldl_cholesterol",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",31,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.386338821420019,0.224047622128243,0.544632867131469,0.340633042496928,0,0.537995447911567,0.366215416142983,0.240683728030818,0.520297230943193,0.372861691593129,0.243324774852765,0.534167586604667,0.5,0.921533333333333,1.0698258451769,0.5,1,Inf,0.5,0.2593,-0.455839827882243,0.5,0.7407,0.455839827882243,0.25,0.739766666666667,0.93085308850998,0.25,0.000933333333333333,-2.55243643786418,0.25,0.181766666666667,-0.176241670200849,0.25,0.0775333333333333,-0.598340971490938,0.25,0.739766666666667,0.93085308850998,0.25,0.000933333333333333,-2.55243643786418,0.93085308850998,"effect",3.48328952637416,"clean_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184403_gupta2025_fiber_ldl_cholesterol"
"nutrition_v4","nutrition_domain","fiber","gupta2025_fiber_total_cholesterol_excl","nutrition_v4__fiber__gupta2025__total_cholesterol__excl","gupta2025","gupta2025",2025,"total_cholesterol_excl","exclusion_sensitivity","gupta2025_fiber_total_cholesterol","unspecified__see_data_dictionary","fiber","gupta2025_fiber_total_cholesterol_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",35,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.361822464188378,0.24011280178201,0.483034766673415,0.297777675621176,0,0.471994170163714,0.255627024821824,0.131613688693413,0.391924135862545,0.261682288036245,0.106279328311102,0.42499606546845,0.5,0.889833333333333,0.907258461372269,0.5,0.9854,1.82925970215445,0.5,0.364933333333333,-0.240605784101467,0.5,0.635066666666667,0.240605784101467,0.25,0.635033333333333,0.717664575975083,0.25,3.33333333333333e-05,-3.99998552327599,0.25,0.2548,0.0110478321587704,0.25,0.110133333333333,-0.430284900278729,0.25,0.635033333333333,0.717664575975083,0.25,3.33333333333333e-05,-3.99998552327599,0.717664575975083,"effect",4.71765009925107,"clean_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184417_gupta2025_fiber_total_cholesterol_excl"
"nutrition_v4","nutrition_domain","fiber","gupta2025_fiber_triglycerides_excl","nutrition_v4__fiber__gupta2025__triglycerides__excl","gupta2025","gupta2025",2025,"triglycerides_excl","exclusion_sensitivity","gupta2025_fiber_triglycerides","unspecified__see_data_dictionary","fiber","gupta2025_fiber_triglycerides_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",35,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.331260805492803,0.0330101856478902,0.627954222791127,0.149611133133626,-0.0683564129056948,0.567763576662321,0.876208185857422,0.700825881876541,1.09054121090409,0.888852393897247,0.711199929258468,1.10662403353635,0.5,0.527333333333333,0.04753024831461,0.5,1,Inf,0.5,0.432533333333333,-0.117920773747873,0.5,0.567466666666667,0.117920773747873,0.25,0.395866666666667,0.293537390136521,0.25,0.1716,-0.206601551989066,0.25,0.131466666666667,-0.342849584567981,0.25,0.301066666666667,0.11134817569803,0.25,0.395866666666667,0.293537390136521,0.25,0.1716,-0.206601551989066,0.293537390136521,"effect",0.500138942125587,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184417_gupta2025_fiber_triglycerides_excl"
"nutrition_v4","nutrition_domain","fiber","jovanovski2019_fiber_fasting_glucose","nutrition_v4__fiber__jovanovski2019__fasting_glucose__main","jovanovski2019","jovanovski2019",2019,"fasting_glucose","main",NA,NA,"fiber","jovanovski2019_fiber_fasting_glucose",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",27,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.509204974354105,0.1537890454396,0.860238784168936,0.31374858199484,-0.0331825287939438,0.817099051218517,0.910896397034171,0.707922206428748,1.16389965605478,0.925816930493078,0.718875478106623,1.18292522415701,0.5,0.7068,0.382132574865636,0.5,1,Inf,0.5,0.463033333333333,-0.0643350702005779,0.5,0.536966666666667,0.0643350702005779,0.25,0.492666666666667,0.464381036343915,0.25,0.0443,-0.856796605066024,0.25,0.214133333333333,-0.0875433358515818,0.25,0.2489,-0.00255161065195223,0.25,0.492666666666667,0.464381036343915,0.25,0.0443,-0.856796605066024,0.464381036343915,"effect",1.32117764140994,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184435_jovanovski2019_fiber_fasting_glucose"
"nutrition_v4","nutrition_domain","fiber","jovanovski2019_fiber_hba1c","nutrition_v4__fiber__jovanovski2019__hba1c__main","jovanovski2019","jovanovski2019",2019,"hba1c","main",NA,NA,"fiber","jovanovski2019_fiber_hba1c",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",19,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.63556578937061,0.290872846585751,0.968370369449464,0.51278460217575,0,0.937667173098984,0.688286098522781,0.490266490190218,0.945244415971597,0.700255889216468,0.498553158031472,0.959344285767313,0.5,0.876133333333333,0.849615753196874,0.5,1,Inf,0.5,0.351533333333333,-0.265921144544018,0.5,0.648466666666667,0.265921144544018,0.25,0.6413,0.729451117960935,0.25,0.00716666666666667,-1.6644378897996,0.25,0.234833333333333,-0.035875044937002,0.25,0.1167,-0.401916119671873,0.25,0.6413,0.729451117960935,0.25,0.00716666666666667,-1.6644378897996,0.729451117960935,"effect",2.39388900776053,"clean_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184449_jovanovski2019_fiber_hba1c"
"nutrition_v4","nutrition_domain","fiber","jovanovski2019_fiber_homa_ir_excl","nutrition_v4__fiber__jovanovski2019__homa_ir__excl","jovanovski2019","jovanovski2019",2019,"homa_ir_excl","exclusion_sensitivity","jovanovski2019_fiber_homa_ir","unspecified__see_data_dictionary","fiber","jovanovski2019_fiber_homa_ir_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",9,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.355692884366556,0.0943524855248437,0.62615917966313,0.167855522641722,-0.0496800909743708,0.526959930136576,0.237680961081528,0.0141102472904638,0.555815291062937,0.152521123005371,0,0.541666396272958,0.5,0.591,0.159864172873913,0.5,0.5936,0.164540192995108,0.5,0.614466666666667,0.202436395186309,0.5,0.385533333333333,-0.202436395186309,0.25,0.3514,0.210946067541985,0.25,0.0341333333333333,-0.974617221610509,0.25,0.2396,-0.0244340397564693,0.25,0.374866666666667,0.255025422221043,0.25,0.3514,0.210946067541985,0.25,0.0341333333333333,-0.974617221610509,0.210946067541985,"effect",1.18556328915249,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184451_jovanovski2019_fiber_homa_ir_excl"
"nutrition_v4","nutrition_domain","fiber","khan2018_fiber_diastolic_bp","nutrition_v4__fiber__khan2018__diastolic_bp__main","khan2018","khan2018",2018,"diastolic_bp","main",NA,NA,"fiber","khan2018_fiber_diastolic_bp",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",23,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.0769380445733482,-0.103334000779646,0.24308260558859,-0.0124148860645545,-0.301640955613255,0.134239661659432,0.314975966288942,0.135011775717755,0.516685527171621,0.315764468256798,0.140775244447813,0.512931187816901,0.5,0.206666666666667,-0.584185267558258,0.5,0.9928,2.13952927205941,0.5,0.443633333333333,-0.0983369320772576,0.5,0.556366666666667,0.0983369320772576,0.25,0.0902666666666667,-0.526265447875099,0.25,0.4661,0.418140436794339,0.25,0.1164,-0.403181472165865,0.25,0.327233333333333,0.164114325507574,0.25,0.0902666666666667,-0.526265447875099,0.25,0.4661,0.418140436794339,0.418140436794339,"no_effect",0.944405884669439,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184504_khan2018_fiber_diastolic_bp"
"nutrition_v4","nutrition_domain","fiber","khan2018_fiber_systolic_bp","nutrition_v4__fiber__khan2018__systolic_bp__main","khan2018","khan2018",2018,"systolic_bp","main",NA,NA,"fiber","khan2018_fiber_systolic_bp",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",24,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.193131660386892,0.0289026332722498,0.35717319019447,0.0531722643491682,-0.0113756891623059,0.271151627835557,0.301049740762162,0.0955678634527541,0.519733183904838,0.23542531772816,0,0.506920530427062,0.5,0.4083,-0.161122189354015,0.5,0.8285,0.684028388376566,0.5,0.792766666666667,0.582685768501946,0.5,0.207233333333333,-0.582685768501946,0.25,0.1341,-0.332917707072116,0.25,0.0731333333333333,-0.625780640468139,0.25,0.2742,0.0543717413086186,0.25,0.518566666666667,0.509389695183394,0.25,0.1341,-0.332917707072116,0.25,0.0731333333333333,-0.625780640468139,-0.332917707072116,"effect",0.292862933396023,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,3.33066907387547e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184517_khan2018_fiber_systolic_bp"
"nutrition_v4","nutrition_domain","fiber","post2012_fiber_fasting_glucose","nutrition_v4__fiber__post2012__fasting_glucose__main","post2012","post2012",2012,"fasting_glucose","main",NA,NA,"fiber","post2012_fiber_fasting_glucose",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",13,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.444610736027703,0.232577364482869,0.650593680708039,0.386437547795003,0,0.632081093513022,0.126143848555629,0.00518150530114454,0.357015567047468,0.0479630665172185,0,0.323333796953593,0.5,0.910833333333333,1.00923638426449,0.5,0.3355,-0.29680246077374,0.5,0.3078,-0.351962979462649,0.5,0.6922,0.351962979462649,0.25,0.690566666666667,0.825759770311769,0.25,0.00163333333333333,-2.30909399238556,0.25,0.220266666666667,-0.0718760662457782,0.25,0.0875333333333333,-0.540922286446671,0.25,0.690566666666667,0.825759770311769,0.25,0.00163333333333333,-2.30909399238556,0.825759770311769,"effect",3.13485376269733,"clean_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184519_post2012_fiber_fasting_glucose"
"nutrition_v4","nutrition_domain","fiber","post2012_fiber_hba1c","nutrition_v4__fiber__post2012__hba1c__main","post2012","post2012",2012,"hba1c","main",NA,NA,"fiber","post2012_fiber_hba1c",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",10,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.290879531610341,0.0336646845285898,0.541586966603098,0.107427555811718,-0.0694682041721444,0.453613633976949,0.18573275688572,0.00873587748024598,0.479170228155111,0.0883332720203788,0,0.434640250938227,0.5,0.479766666666667,-0.0351681049817742,0.5,0.450933333333333,-0.0855127390202897,0.5,0.650666666666667,0.270118530682965,0.5,0.349333333333333,-0.270118530682965,0.25,0.268866666666667,0.0426616332574002,0.25,0.0804666666666667,-0.580830211391166,0.25,0.2109,-0.0959342089229455,0.25,0.439766666666667,0.371974617086403,0.25,0.268866666666667,0.0426616332574002,0.25,0.0804666666666667,-0.580830211391166,0.0426616332574002,"effect",0.623491844648566,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,5.55111512312578e-17,1.2490009027033e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","2fe625a974c914af","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260515T184537_post2012_fiber_hba1c"
